n_states,restart,seed,log_likelihood,converged,iterations,is_best_restart_for_state,parameter_count,bic
4,0,4042,-197532.49508197585,True,200,True,91,396077.6727445991
4,1,4043,-197875.77394949144,True,200,False,91,
5,0,5042,-197251.00901581664,True,200,True,119,395826.2952524799
5,1,5043,-197516.5937297543,True,200,False,119,
6,0,6042,-197171.74094232765,True,200,True,149,396001.61050571536
6,1,6043,-197604.20756865633,True,200,False,149,
7,0,7042,-197427.42022070088,True,200,True,181,396869.0772226895
7,1,7043,-197516.99378142896,True,200,False,181,
8,0,8042,-197249.56271621227,True,200,True,215,396891.7271339542
8,1,8043,-197329.48118084,True,200,False,215,
9,0,9042,-197135.80889198082,True,200,False,251,
9,1,9043,-196462.13281374582,True,200,True,251,395717.4890092774
