epoch,train_loss,val_loss,val_threshold,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_specificity,val_f1,val_mcc,val_roc_auc,val_pr_auc,val_brier,val_tn,val_fp,val_fn,val_tp,learning_rate
1,0.517158995856758,0.27273523971575114,0.5209837555885315,0.9311926605504587,0.8038493038493039,0.8913043478260869,0.6212121212121212,0.9864864864864865,0.7321428571428571,0.7090059042452252,0.9020884520884521,0.7781595632084205,0.07016663423476506,365,5,25,41,0.00013674627008070423
2,0.39600850564091145,0.2801240835714778,0.6288633942604065,0.9288990825688074,0.8024979524979525,0.8723404255319149,0.6212121212121212,0.9837837837837838,0.7256637168141593,0.6992001861500644,0.9032760032760032,0.7911382350770466,0.07359623023448879,364,6,25,41,0.0002699862255439545
3,0.383749416195044,0.24377007167273707,0.6531268954277039,0.9426605504587156,0.8604013104013104,0.8596491228070176,0.7424242424242424,0.9783783783783784,0.7967479674796748,0.7663588093819339,0.9120393120393121,0.7911256695319927,0.06209723077843273,362,8,17,49,0.0004032261810072048
4,0.35950967679504586,0.2526844835609471,0.6213111877441406,0.9403669724770642,0.8528255528255528,0.8571428571428571,0.7272727272727273,0.9783783783783784,0.7868852459016393,0.75592210323225,0.9143325143325145,0.8015118487750168,0.06589770119374046,362,8,18,48,0.00042377596492268623
5,0.3371204471387783,0.2612117144766204,0.10158944129943848,0.9426605504587156,0.8728501228501229,0.8360655737704918,0.7727272727272727,0.972972972972973,0.8031496062992126,0.7704714751073934,0.9157043407043407,0.8238876726545752,0.0652752028316745,360,10,15,51,0.00042184975723465196
6,0.43467776059102614,0.33188903277073434,0.8386797308921814,0.9403669724770642,0.8279279279279279,0.9166666666666666,0.6666666666666666,0.9891891891891892,0.7719298245614035,0.7510083208820769,0.9098075348075348,0.8147952052735727,0.09600668474491769,366,4,22,44,0.00041847456591765584
7,0.37612346360663407,0.33715472308867567,0.9399133324623108,0.9426605504587156,0.8355036855036855,0.9183673469387755,0.6818181818181818,0.9891891891891892,0.782608695652174,0.7614591298277797,0.9085380835380835,0.7977670034634781,0.0950224893274521,366,4,21,45,0.00041367495312038356
8,0.3369890686907187,0.22915920314438845,0.3952508866786957,0.9495412844036697,0.8644553644553645,0.9074074074074074,0.7424242424242424,0.9864864864864865,0.8166666666666667,0.7930829459599615,0.9156224406224407,0.8060581083141994,0.05364420925371093,365,5,17,49,0.0004074858468786376
9,0.3512027843910105,0.3976019288695187,0.9124361872673035,0.944954128440367,0.843079443079443,0.92,0.696969696969697,0.9891891891891892,0.7931034482758621,0.7718250458309399,0.9141482391482392,0.815267716604984,0.12278328621597302,366,4,20,46,0.0003999522869348992
10,0.33095887218202863,0.28562345882074547,0.8255897164344788,0.9495412844036697,0.8706797706797706,0.8928571428571429,0.7575757575757576,0.9837837837837838,0.819672131147541,0.7941744287904279,0.9098280098280098,0.8238809958582692,0.07645058378222858,364,6,16,50,0.00039112909697235895
11,0.32730015140621604,0.2282118775428982,0.4137140214443207,0.9472477064220184,0.8631040131040131,0.8909090909090909,0.7424242424242424,0.9837837837837838,0.8099173553719008,0.7839530277020392,0.9211302211302211,0.8267676650491838,0.054250848730901496,364,6,17,49,0.00038108048564865704
12,0.34575923056412144,0.2542607363210906,0.12984342873096466,0.9426605504587156,0.8479524979524979,0.8867924528301887,0.7121212121212122,0.9837837837837838,0.7899159663865546,0.7632827759805999,0.9183660933660934,0.8063548337018175,0.060122972659377334,364,6,19,47,0.00036987957933271205
13,0.3840997109142672,0.2521322916407104,0.6542322635650635,0.9472477064220184,0.8631040131040131,0.8909090909090909,0.7424242424242424,0.9837837837837838,0.8099173553719008,0.7839530277020392,0.9162571662571664,0.820496014001878,0.059659221396661875,364,6,17,49,0.0003576078899450373
14,0.35006735690501556,0.39498681650249234,0.9049869179725647,0.944954128440367,0.8617526617526617,0.875,0.7424242424242424,0.981081081081081,0.8032786885245902,0.7750482660113389,0.9171171171171172,0.8329771845000137,0.10970289082725118,363,7,17,49,0.00034435472177420665
15,0.34685084414081413,0.2807735054317964,0.8233283758163452,0.9472477064220184,0.856879606879607,0.9056603773584906,0.7272727272727273,0.9864864864864865,0.8067226890756303,0.7828656458362867,0.9146601146601145,0.8090619215613234,0.07653278509364858,365,5,18,48,0.00033021652158622423
16,0.30249074016298566,0.24902513131089166,0.6535692811012268,0.944954128440367,0.8555282555282555,0.8888888888888888,0.7272727272727273,0.9837837837837838,0.8,0.7736568693061108,0.9175266175266176,0.8277385774986024,0.06119458723612893,364,6,18,48,0.00031529617675621975
17,0.28838051041635143,0.22901521964904364,0.5,0.9426605504587156,0.8417280917280918,0.9019607843137255,0.696969696969697,0.9864864864864865,0.7863247863247863,0.7621984373847833,0.911015561015561,0.8063759295264273,0.05534243459251972,365,5,20,46,0.0002997022665301493
18,0.2673111729762133,0.22857897434759578,0.7158214449882507,0.944954128440367,0.8493038493038494,0.9038461538461539,0.7121212121212122,0.9864864864864865,0.7966101694915254,0.7725719090672756,0.9122645372645373,0.8187430764919965,0.05595919449975147,365,5,19,47,0.0002835482718652661
19,0.2496532463726877,0.2675211888934494,0.6819385886192322,0.9403669724770642,0.8528255528255528,0.8571428571428571,0.7272727272727273,0.9783783783783784,0.7868852459016393,0.75592210323225,0.9127149877149877,0.809003045385482,0.07067989074402972,362,8,18,48,0.00026695174959955726
20,0.2616222466866509,0.46411100740826455,0.9348725080490112,0.9472477064220184,0.856879606879607,0.9056603773584906,0.7272727272727273,0.9864864864864865,0.8067226890756303,0.7828656458362867,0.9095618345618346,0.8162782968776657,0.155126882153636,365,5,18,48,0.00025003347695993274
21,0.23496916486936456,0.28423643112182617,0.9155072569847107,0.944954128440367,0.8555282555282555,0.8888888888888888,0.7272727272727273,0.9837837837837838,0.8,0.7736568693061108,0.9016789516789517,0.811233834778953,0.07874776616777752,364,6,18,48,0.0002329165726348021
22,0.2151590352924932,0.33910010932782375,0.9507778882980347,0.944954128440367,0.8617526617526617,0.875,0.7424242424242424,0.981081081081081,0.8032786885245902,0.7750482660113389,0.9066339066339066,0.8120073217947184,0.09628783221714728,363,7,17,49,0.0002157256008072257
