sample_id,parent_id,copy_number_for_parent,length,folded_residue_count,disordered_residue_count,mutation_count,mutation_fraction,parent_identity,idr_unchanged,mutated_positions_1based,sequence_sha256
pos_train_seq0_hmm_aug001,pos_train_seq0,1,496,354,142,15,0.03024193548387097,0.969758064516129,1,"72,97,106,114,132,144,150,182,188,242,261,288,327,359,417",9fde2dd3d8e26fa0be0f9d700afb51afb87a25af24265d38b4491f95dc7109b1
pos_train_seq1_hmm_aug001,pos_train_seq1,1,231,231,0,11,0.047619047619047616,0.9523809523809523,1,"22,40,45,48,108,111,142,143,151,186,203",4de2c24cae3828738af797a61b7792d2a8321d57b8ad0080f1d5040f91eef968
pos_train_seq2_hmm_aug001,pos_train_seq2,1,163,78,85,3,0.018404907975460124,0.9815950920245399,1,"45,59,80",64cce0a86ddef2dd280ae259263baf9457e47d8364c2a868e3b1efde48ccdc54
pos_train_seq3_hmm_aug001,pos_train_seq3,1,157,120,37,8,0.050955414012738856,0.9490445859872612,1,"62,71,78,89,91,116,150,155",3ed5d092177192ab8a858525605d92d505107b048a56620ce85f2184cd090889
pos_train_seq7_hmm_aug001,pos_train_seq7,1,480,148,332,4,0.008333333333333333,0.9916666666666667,1,"209,251,339,375",dce3cbef54dbef4d82dc0b9db7dc6fba85b0a57bb0f6d2d7574e35e5175b60a5
pos_train_seq8_hmm_aug001,pos_train_seq8,1,180,1,179,1,0.005555555555555556,0.9944444444444445,1,97,0bc1e3f04366c824c678b980f4064e436034aa369428356504da26e381d0eb95
pos_train_seq10_hmm_aug001,pos_train_seq10,1,474,318,156,22,0.046413502109704644,0.9535864978902954,1,"29,86,91,94,122,127,141,144,149,169,181,186,187,207,208,245,251,269,278,435,446,453",43c5ca88117123d4a5cc937886737a6cd449c1fdcf2ac60c7b6ab642ed48f94d
pos_train_seq11_hmm_aug001,pos_train_seq11,1,378,159,219,2,0.005291005291005291,0.9947089947089947,1,"121,135",4a3f296ee307321680ff67b3747610cd2040faf24a3eba6be09671837ca085c8
pos_train_seq12_hmm_aug001,pos_train_seq12,1,359,6,353,1,0.002785515320334262,0.9972144846796658,1,183,f083809318cdeb5bde9213ff3e3d7b0b10f073ff8e2c71262bf6b985f83068f4
pos_train_seq14_hmm_aug001,pos_train_seq14,1,501,305,196,16,0.031936127744510975,0.9680638722554891,1,"17,25,29,61,93,111,112,174,176,179,228,245,253,345,355,359",4b80562700560a3e938ce3773078dcd03706c9d8a95fef1c6c6f2ea46f535d50
pos_train_seq16_hmm_aug001,pos_train_seq16,1,461,210,251,7,0.015184381778741865,0.9848156182212582,1,"4,28,54,71,100,142,423",cafc3f594028642a1d3ab51355ee3928f7083d6fc95451bb8d1361dbdc123a04
pos_train_seq17_hmm_aug001,pos_train_seq17,1,280,124,156,5,0.017857142857142856,0.9821428571428571,1,"31,58,247,256,273",6985d3317b8eb35ab0a32d5d0f9e68e37fbb1116953d2a6903b4d948f5fb8685
pos_train_seq18_hmm_aug001,pos_train_seq18,1,184,171,13,7,0.03804347826086957,0.9619565217391304,1,"34,91,92,101,123,130,156",d88c8931e8d9a807cf66a9d7f8b579f5b828d1cef3f533741a0713f9d8d34a05
pos_train_seq19_hmm_aug001,pos_train_seq19,1,501,305,196,17,0.033932135728542916,0.9660678642714571,1,"25,26,81,94,119,131,140,149,159,172,193,208,217,225,239,284,359",e4715194d3593fc7f461aa72adcedcaeba339fb0c9a3d12fb8a2eacac4b8a153
pos_train_seq24_hmm_aug001,pos_train_seq24,1,165,4,161,1,0.006060606060606061,0.9939393939393939,1,165,ef3cb4e18d7cf68d1b3ed82eca5109b1018af56584eb920e83508729bb68c70a
pos_train_seq25_hmm_aug001,pos_train_seq25,1,198,190,8,9,0.045454545454545456,0.9545454545454546,1,"20,99,108,123,127,151,165,170,190",c40511257f6889c1a3aa17975fefe5cc4d4d16b2470f9cc2941e107ad066a03a
