sample_id,length,folded_residue_count,disordered_residue_count,folded_fraction,eligible_for_augmentation
pos_train_seq0,496,354,142,0.7137096774193549,1
pos_train_seq1,231,231,0,1.0,1
pos_train_seq2,163,78,85,0.4785276073619632,1
pos_train_seq3,157,120,37,0.7643312101910829,1
pos_train_seq4,165,0,165,0.0,0
pos_train_seq5,262,0,262,0.0,0
pos_train_seq6,54,0,54,0.0,0
pos_train_seq7,480,148,332,0.30833333333333335,1
pos_train_seq8,180,1,179,0.005555555555555556,1
pos_train_seq9,168,0,168,0.0,0
pos_train_seq10,474,318,156,0.6708860759493671,1
pos_train_seq11,378,159,219,0.42063492063492064,1
pos_train_seq12,359,6,353,0.016713091922005572,1
pos_train_seq13,139,0,139,0.0,0
pos_train_seq14,501,305,196,0.6087824351297405,1
pos_train_seq15,400,0,400,0.0,0
pos_train_seq16,461,210,251,0.455531453362256,1
pos_train_seq17,280,124,156,0.44285714285714284,1
pos_train_seq18,184,171,13,0.9293478260869565,1
pos_train_seq19,501,305,196,0.6087824351297405,1
pos_train_seq20,168,0,168,0.0,0
pos_train_seq21,227,0,227,0.0,0
pos_train_seq22,165,0,165,0.0,0
pos_train_seq23,40,0,40,0.0,0
pos_train_seq24,165,4,161,0.024242424242424242,1
pos_train_seq25,198,190,8,0.9595959595959596,1
pos_train_seq26,401,0,401,0.0,0
pos_train_seq27,165,0,165,0.0,0
pos_train_seq28,391,312,79,0.7979539641943734,1
pos_train_seq29,267,135,132,0.5056179775280899,1
pos_train_seq30,200,0,200,0.0,0
pos_train_seq31,388,18,370,0.04639175257731959,1
pos_train_seq32,240,131,109,0.5458333333333333,1
pos_train_seq33,495,493,2,0.9959595959595959,1
pos_train_seq34,357,189,168,0.5294117647058824,1
pos_train_seq35,214,135,79,0.6308411214953271,1
pos_train_seq36,412,405,7,0.9830097087378641,1
pos_train_seq37,213,94,119,0.4413145539906103,1
pos_train_seq38,352,148,204,0.42045454545454547,1
pos_train_seq39,328,108,220,0.32926829268292684,1
pos_train_seq40,157,0,157,0.0,0
pos_train_seq41,487,0,487,0.0,0
pos_train_seq42,387,240,147,0.6201550387596899,1
pos_train_seq43,189,0,189,0.0,0
pos_train_seq44,452,227,225,0.5022123893805309,1
pos_train_seq45,429,252,177,0.5874125874125874,1
pos_train_seq46,392,47,345,0.11989795918367346,1
pos_train_seq47,127,126,1,0.9921259842519685,1
pos_train_seq48,315,0,315,0.0,0
pos_train_seq49,160,0,160,0.0,0
pos_train_seq50,343,145,198,0.4227405247813411,1
pos_train_seq51,401,12,389,0.029925187032418952,1
pos_train_seq52,175,37,138,0.21142857142857144,1
pos_train_seq53,59,0,59,0.0,0
pos_train_seq54,376,282,94,0.75,1
pos_train_seq55,393,186,207,0.4732824427480916,1
pos_train_seq56,149,0,149,0.0,0
pos_train_seq57,246,35,211,0.14227642276422764,1
pos_train_seq58,168,0,168,0.0,0
pos_train_seq59,185,137,48,0.7405405405405405,1
pos_train_seq60,341,304,37,0.8914956011730205,1
pos_train_seq61,168,0,168,0.0,0
